200-OK,成功
two-pointer,双指针
type-inference,类型推断
unavailable,不可用的
unboxing,自动拆箱
undefined,未定义
underflow,下溢
understand,理解
undo-log,撤销日志
unfair-lock,非公平锁
union-find,并查集
unique,唯一
unit-test,单元测试
unlock,解锁
unpark,唤醒
unreliable,不可靠的
unstable,不稳定的
upper-bound,上界
upsert,插入或更新
upside,有利方面
uptime,正常运行时间
usability-test,可用性测试
user-story,用户故事
utilization,利用率
vacuum,清理
validate,验证
validation,验证
validator,验证器
value,值
value-object,值对象
variable,变量
variance,方差
vector-clock,向量时钟
velocity,速度
verbose-GC,详细GC
version,版本
version-control,版本控制
version-vector,版本向量
versioning,版本控制
vertex,顶点
vertical-scaling,垂直扩展
vhost,虚拟主机
virtual-memory,虚拟内存
virtual-node,虚拟节点
visibility,可见性
visual-regression,视觉回归
void,空
volatile,易失的
volatile-read,易失读
volatile-write,易失写
volume,卷
vulnerability,漏洞
vulnerability-scan,漏洞扫描
wait,等待
wait-free,无等待
walk-through,讲解
warm-standby,温备份
watermark,水印
weak-consistency,弱一致性
weak-reference,弱引用
weak-typing,弱类型
weaving,织入
webhook,Webhook
weighted,加权
whereas,然而
whitelist,白名单
wildcard,通配符
window,窗口
windowing,窗口化
with-regard-to,关于
work-stealing,工作窃取
worker,工作节点
workflow,工作流
workspace,工作空间
worst-case,最坏情况
wrapper,包装类
write-ahead-log,预写日志
write-around,绕写
write-behind,写回
write-buffer,写缓冲
write-lock,写锁
write-model,写模型
write-through,写穿
yield,让步
you're-right,你是对的
young-generation,年轻代
zero-copy,零拷贝
zero-day,零日漏洞
zero-trust,零信任
zoom-in,放大
zoom-out,缩小
